	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
Artificial reactions	879.4963162817011	879.4959924665317	879.4959924665319	879.4959924665319	879.4959924665324	879.4160743877239	879.4959924665319	879.4959924665318	879.4959924665321	879.4959924665317	879.4959924665318	879.4959924665321	879.4959924665318	879.498467348426	879.4959924665321	878.7395580698176	879.495992466532	879.0411802530299	879.4959924665319	879.4959924665321	879.4959924665319	879.4959924665319
Ascorbate and aldarate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta oxidation of branched-chain fatty acids (mitochondrial)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	0.0	0.0	0.0	-51.46671912456373	0.0	0.0	0.0	0.0	0.0	0.0	0.36922390458640686	0.0	0.0	424.2917895538434	61.42320347446511	-42.088766787556935	-0.591820508376169	-6.938893903907228e-18	0.0	0.0	0.0	0.12115087809141767
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.938893903907228e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta oxidation of even-chain fatty acids (mitochondrial)	17.097965799928538	254.92766582877212	491.6016239829779	244.83126328927048	0.00022561300023914453	6.270852199207708	0.3741624210307272	460.27017052750966	6.882861210742313	0.0	104.74387820783275	0.024084559091000098	1.8470080325727514	12.46638365249343	537.9115276742615	107.50566929274112	17.726661527849345	0.5361373608685974	57.58095519187677	29.061925958268706	8.832384627819929	4.7116560098406275
Beta oxidation of even-chain fatty acids (peroxisomal)	0.0	0.3263563636635547	37.283364443022734	0.0	0.3247475878796157	0.10131597233509318	1.548280875661403	0.07805658005618975	0.037843910437071145	0.0	44.14267464490659	56.702350118606326	0.842533545928958	65.06438725619952	0.2731983188135948	2.3459564121879604	11.382036183918078	0.023459477860950192	6.851172363792963	3.8263057057918815	1.49882020571484	0.0
Beta oxidation of odd-chain fatty acids (mitochondrial)	0.0	1.178066873712345	2.2103050180441767e-05	0.0	0.0	0.004588444603724331	0.012361523957376467	0.0	0.08830245768649932	0.0	0.0	8.089176807023637e-05	0.4884081507605023	-1.764030914554607e-18	0.0	0.03389563312740164	0.3114963031575656	0.14075686716570115	0.16404828418202208	0.0	0.3155410959399664	0.013156235166477428
Beta oxidation of odd-chain fatty acids (peroxisomal)	0.0	0.684552372562578	5.525762545196969e-06	0.0	6.446085721118417e-05	0.0021645033431108803	0.0015451904946720582	0.15611316011237952	0.006307318406178523	0.0	0.0	0.0001617835361404727	0.08479084880042151	0.016675417733181205	0.0	0.004226948490428758	0.024390704501524564	0.0029324347326187736	0.013670690348501846	0.01336152705508168	0.2366558219549748	0.009473221268884032
Beta oxidation of phytanic acid (peroxisomal)	0.0	0.0	0.0	0.0	-1.7861091473253683e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	0.0	2.610850909308437	3.039169399828673e-05	0.0	9.987479490706947e-07	0.0	0.0	0.067757941195273	1.6462101040125945	0.0	0.0	0.0	0.6072391353617266	-5.292092743663821e-18	0.0	0.008319084005747483	0.0006070466044465044	3.173109928324776	0.5058155428945675	0.027669807960705357	0.8677380138349073	1.2045765614305126
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
